id,name_en,name_ko,image_url,types,height,weight,abilities,stats_hp,stats_attack,stats_defense,stats_sp_attack,stats_sp_defense,stats_speed,flavor_text,color,generation
21,spearow,깨비참,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,"노말, 비행",0.3,2.0,"날카로운눈, 스나이퍼",40,60,30,31,31,70,자신의 영역을 지키기 위해 작은 날개를 쳐서 바쁘게 주위를 날아 맴돈다.,brown,1
22,fearow,깨비드릴조,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,"노말, 비행",1.2,38.0,"날카로운눈, 스나이퍼",65,90,65,61,61,100,커다란 날개로 넓은 하늘을 계속 날 수 있다. 한 번도 내려앉지 않아도 괜찮다.,brown,1
23,ekans,아보,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,독,2.0,6.9,"위협, 탈피, 긴장감",35,60,44,40,54,55,성장할수록 점점 길어진다. 밤에는 나뭇가지에 몸을 돌돌 말고 쉰다.,purple,1
24,arbok,아보크,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,독,3.5,65.0,"위협, 탈피, 긴장감",60,95,69,65,79,80,배의 무늬가 무서운 얼굴로 보인다. 약한 적은 그 무늬만 보고도 도망치고 만다.,purple,1
25,pikachu,피카츄,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,전기,0.4,6.0,"정전기, 피뢰침",35,55,40,50,50,90,꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.,yellow,1
26,raichu,라이츄,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,전기,0.8,30.0,"정전기, 피뢰침",60,90,55,90,80,110,전기가 모이면 근육이 자극되어 여느 때보다 공격적이 된다.,yellow,1
27,sandshrew,모래두지,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,땅,0.6,12.0,"모래숨기, 모래헤치기",50,75,85,20,30,40,지면에 구멍을 파고 산다. 자신에게 위험이 닥쳐오면 둥글게 말아서 몸을 보호한다.,yellow,1
28,sandslash,고지,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,땅,1.0,29.5,"모래숨기, 모래헤치기",75,100,110,45,55,65,굉장한 기세로 지면을 파면 가시와 발톱이 부러져 버리지만 다음 날에는 바로 돋아나 있다.,yellow,1
29,nidoran-f,니드런♀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,독,0.4,7.0,"독가시, 투쟁심, 의욕",55,47,52,40,40,41,몸은 작지만 독침을 지니고 있기 때문에 주의가 필요하다. 암컷의 뿔이 더 작다.,blue,1
30,nidorina,니드리나,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,독,0.8,20.0,"독가시, 투쟁심, 의욕",70,62,67,55,55,56,암컷으로 성격은 온화하다. 입에서 내보내는 초음파는 상대를 혼란시키는 힘이 있다.,blue,1
31,nidoqueen,니드퀸,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,"독, 땅",1.3,60.0,"독가시, 투쟁심, 우격다짐",90,92,87,75,85,76,비늘로 뒤덮인 튼튼한 몸으로 둥지의 입구를 막아 상대로부터 새끼들을 지킨다.,blue,1
32,nidoran-m,니드런♂,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,독,0.5,9.0,"독가시, 투쟁심, 의욕",46,57,40,40,40,50,풀밭 위로 귀만 내어 주위의 낌새를 살핀다. 맹독의 뿔로 몸을 보호한다.,purple,1
33,nidorino,니드리노,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,독,0.9,19.5,"독가시, 투쟁심, 의욕",61,72,57,55,55,65,신경질적이고 호전적이다. 체내의 아드레날린이 증가하면 독소의 농도도 높아진다.,purple,1
34,nidoking,니드킹,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,"독, 땅",1.4,62.0,"독가시, 투쟁심, 우격다짐",81,102,77,85,75,85,돌처럼 딱딱한 피부와 길게 뻗은 뿔이 특징이다. 뿔에는 독이 있으니 주의해야 한다.,purple,1
35,clefairy,삐삐,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,페어리,0.6,7.5,"헤롱헤롱바디, 매직가드, 프렌드가드",70,45,48,60,65,35,보름달 밤에 삐삐가 모여 춤을 추는 모습을 보면 행복해진다고 전해진다.,pink,1
36,clefable,픽시,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,페어리,1.3,40.0,"헤롱헤롱바디, 매직가드, 천진",95,70,73,95,90,60,1km 전방에 떨어진 바늘 소리도 분간할 수 있는 우수한 귀를 가지고 있다. 조용한 산속에 살고 있다.,pink,1
37,vulpix,식스테일,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,불꽃,0.6,9.9,"타오르는불꽃, 가뭄",38,41,40,50,65,65,태어났을 때는 꼬리가 새하얗고 하나밖에 없다. 성장하면 끝이 갈라지며 꼬리 수가 늘어난다.,brown,1
38,ninetales,나인테일,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,불꽃,1.1,19.9,"타오르는불꽃, 가뭄",73,76,75,81,100,100,황금빛으로 빛나는 털과 9개의 긴 꼬리를 지녔다. 1000년을 산다고 한다.,yellow,1
39,jigglypuff,푸린,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,"노말, 페어리",0.5,5.5,"헤롱헤롱바디, 승기, 프렌드가드",115,45,20,45,25,20,동그랗고 커다란 눈동자로 유인하고 기분 좋은 노래를 불러 상대방을 잠들게 한다.,pink,1
40,wigglytuff,푸크린,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,"노말, 페어리",1.0,12.0,"헤롱헤롱바디, 승기, 통찰",140,70,45,85,50,45,2마리가 바싹 붙어 있으면 서로의 털이 너무 기분 좋아서 떨어지지 않게 되어버린다.,pink,1
41,zubat,주뱃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,"독, 비행",0.8,7.5,"정신력, 틈새포착",40,45,35,30,40,55,입에서 내는 초음파로 두 눈이 없어도 주위의 장애물을 탐색할 수 있다.,purple,1
42,golbat,골뱃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,"독, 비행",1.6,55.0,"정신력, 틈새포착",75,80,70,65,75,90,물리면 끝이다. 죽을 정도로 피를 빨아들이기 때문에 무거워져서 날 수 없게 될 때도 있다.,purple,1
43,oddish,뚜벅쵸,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,"풀, 독",0.5,5.4,"엽록소, 도주",45,50,55,75,65,30,낮에는 태양을 피하려고 차가운 땅속에 들어가 있다. 달빛을 쬐어 성장한다.,blue,1
44,gloom,냄새꼬,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,"풀, 독",0.8,8.6,"엽록소, 악취",60,65,70,85,75,40,강렬한 악취가 난다! 그럼에도 불구하고 1000명에 한 명 정도 이 냄새를 즐겨 맡는 사람이 있다.,blue,1
45,vileplume,라플레시아,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,"풀, 독",1.2,18.6,"엽록소, 포자",75,80,85,110,90,50,꽃잎이 클수록 많은 꽃가루를 만들어 내지만 머리가 무거워서 지쳐버린다고 한다.,red,1
46,paras,파라스,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,"벌레, 풀",0.3,5.4,"포자, 건조피부, 습기",35,70,55,45,55,25,벌레의 등에 돋아나 있는 것은 동충하초라는 버섯이다. 성장하면 버섯도 커진다.,red,1
47,parasect,파라섹트,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,"벌레, 풀",1.0,29.5,"포자, 건조피부, 습기",60,95,80,60,80,30,몸보다 큰 버섯이 파라섹트를 조종하고 있다. 독 포자를 여기저기 뿌린다.,red,1
48,venonat,콘팡,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,"벌레, 독",1.0,30.0,"복안, 색안경, 도주",60,55,50,40,55,45,작은 눈이 많이 모여 큰 눈을 이루고 있다. 밤이 되면 불빛을 향해 모여든다.,purple,1
49,venomoth,도나리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,"벌레, 독",1.5,12.5,"인분, 색안경, 미라클스킨",70,65,60,90,75,90,흩뿌려진 날개 가루에 닿으면 몸의 감각이 이상해져서 똑바로 서 있을 수 없게 된다.,purple,1
50,diglett,디그다,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,땅,0.2,0.8,"모래숨기, 개미지옥, 모래의힘",10,55,25,35,45,95,피부가 매우 얇아서 빛을 쪼이게 되면 혈액이 데워져 약해진다.,brown,1
51,dugtrio,닥트리오,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,땅,0.7,33.3,"모래숨기, 개미지옥, 모래의힘",35,100,50,50,70,120,땅속을 파고들어 가 상대가 방심하고 있을 때 다른 곳에서 공격한다.,brown,1
52,meowth,나옹,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,노말,0.4,4.2,"픽업, 테크니션, 긴장감",40,45,35,40,40,90,한밤중에 움직이는 습성이 있다. 반짝반짝 빛나는 것을 발견하면 그에 못지않게 눈동자가 반짝인다.,yellow,1
53,persian,페르시온,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,노말,1.0,32.0,"유연, 테크니션, 긴장감",65,70,60,65,65,115,"털의 결이 아름다워 애완용으로 기르려는 사람이 많지만, 곧잘 할퀴려 들기 때문에 쉽지 않다.",yellow,1
54,psyduck,고라파덕,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,물,0.8,19.6,"습기, 날씨부정, 쓱쓱",50,52,48,65,50,55,항상 두통에 시달리고 있다. 이 두통이 심해지면 이상한 힘을 쓰기 시작한다.,yellow,1
55,golduck,골덕,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,물,1.7,76.6,"습기, 날씨부정, 쓱쓱",80,82,78,95,80,85,해 질 무렵 강가에 모습을 나타낸다. 이마가 이상하게 빛날 때 신통력을 발휘한다고 전해진다.,blue,1
56,mankey,망키,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,격투,0.5,28.0,"의기양양, 분노의경혈, 오기",40,80,35,35,45,70,이유 없이 화내고 날뛰기 시작하면 동료도 구별하지 못하기 때문에 가까이 가는 것은 매우 위험하다.,brown,1
57,primeape,성원숭,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,격투,1.0,32.0,"의기양양, 분노의경혈, 오기",65,105,60,60,70,95,주위에 아무도 없을 때만은 화를 내지 않고 있다. 그러나 그 모습을 보기가 어렵다.,brown,1
58,growlithe,가디,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,불꽃,0.7,19.0,"위협, 타오르는불꽃, 정의의마음",55,70,45,70,50,60,사람을 잘 따르는 충실한 성격이다. 적에게는 짖거나 물며 쫓아내려고 한다.,brown,1
59,arcanine,윈디,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,불꽃,1.9,155.0,"위협, 타오르는불꽃, 정의의마음",90,110,80,100,80,95,옛날부터 많은 사람의 마음을 사로잡은 아름다운 포켓몬이다. 날듯이 경쾌하게 달린다.,brown,1
60,poliwag,발챙이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,물,0.6,12.4,"저수, 습기, 쓱쓱",40,50,40,40,40,90,매끄럽고 검은 피부는 얇고 축축하다. 내장 일부가 비쳐서 소용돌이 모양으로 보인다.,blue,1
61,poliwhirl,슈륙챙이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,물,1.0,20.0,"저수, 습기, 쓱쓱",65,65,65,50,50,90,육지에서도 수중에서도 살 수 있다. 지상에서는 항상 땀을 흘려서 피부를 미끌미끌하게 하고 있다.,blue,1
62,poliwrath,강챙이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,"물, 격투",1.3,54.0,"저수, 습기, 쓱쓱",90,95,95,70,90,70,강인한 근육을 가지고 있다. 태평양을 쉬지 않고 계속 헤엄칠 수 있다.,blue,1
63,abra,캐이시,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,에스퍼,0.9,19.5,"싱크로, 정신력, 매직가드",25,20,15,105,55,90,하루에 18시간은 자고 있다. 자는 동안에도 다양한 초능력을 사용한다.,brown,1
64,kadabra,윤겔라,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,에스퍼,1.3,56.5,"싱크로, 정신력, 매직가드",40,35,30,120,70,105,초능력을 발휘하면 강한 알파파를 내어 정밀 기계를 고장 내 버린다.,brown,1
65,alakazam,후딘,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,에스퍼,1.5,48.0,"싱크로, 정신력, 매직가드",55,50,45,135,95,120,뇌세포는 항상 분열해서 죽을 때까지 늘어나기 때문에 모든 것을 기억해 놓을 수 있다.,brown,1
66,machop,알통몬,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,격투,0.8,19.5,"근성, 노가드, 불굴의마음",70,80,50,35,35,35,데구리를 수없이 들었다 놨다 하며 전신의 근육을 단련한다. 모든 격투기를 사용한다.,gray,1
67,machoke,근육몬,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,격투,1.5,70.5,"근성, 노가드, 불굴의마음",80,100,70,50,60,45,엄청나게 강한 육체를 지녔기 때문에 파워 세이브 벨트를 차서 힘을 제어하고 있다.,gray,1
68,machamp,괴력몬,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,격투,1.6,130.0,"근성, 노가드, 불굴의마음",90,130,80,65,85,55,발달한 4개의 팔은 2초 동안 1000번의 펀치를 날릴 수 있다.,gray,1
69,bellsprout,모다피,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,"풀, 독",0.7,4.0,"엽록소, 먹보",50,75,35,70,30,40,홀쭉한 체격이지만 먹이를 잡을 때의 움직임은 눈에 보이지 않을 정도로 빠르다.,green,1
70,weepinbell,우츠동,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,"풀, 독",1.0,6.4,"엽록소, 먹보",65,90,50,85,45,55,잎사귀 부분은 칼날이 되어 상대를 베어버린다. 입에서는 무엇이든 녹이는 액체를 뿜어낸다.,green,1
71,victreebel,우츠보트,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,"풀, 독",1.7,15.5,"엽록소, 먹보",80,105,65,100,70,70,정글의 안쪽에 우츠보트만 있는 지대가 있어서 한 번 가면 두 번 다시 돌아올 수 없다.,green,1
72,tentacool,왕눈해,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,"물, 독",0.9,45.5,"클리어바디, 해감액, 젖은접시",40,40,35,50,100,70,몸 대부분이 수분이다. 수정 같은 눈에서 이상한 빔을 발사한다.,blue,1
73,tentacruel,독파리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,"물, 독",1.6,55.0,"클리어바디, 해감액, 젖은접시",80,70,65,80,120,100,촉수는 평소에는 짧고 먹이를 찌를 때 길게 늘어나 휘감는다.,blue,1
74,geodude,꼬마돌,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,"바위, 땅",0.4,20.0,"돌머리, 옹골참, 모래숨기",40,80,100,30,30,20,초원이나 산에 서식한다. 돌멩이와 닮은 탓에 알아채지 못하고 밟거나 발이 걸려 넘어지기도 한다.,brown,1
75,graveler,데구리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,"바위, 땅",1.0,105.0,"돌머리, 옹골참, 모래숨기",55,95,115,45,45,35,산에서 굴러 떨어질 때 몸의 여기저기가 부서져도 신경 쓰지 않는 호쾌한 성격이다.,brown,1
76,golem,딱구리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,"바위, 땅",1.4,300.0,"돌머리, 옹골참, 모래숨기",80,120,130,55,65,45,산 정상에서 산기슭까지 이어지는 움푹 패인 홈은 딱구리가 굴러 다니는 길이므로 주의가 필요하다.,brown,1
77,ponyta,포니타,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,불꽃,1.0,30.0,"도주, 타오르는불꽃, 불꽃몸",50,85,55,65,65,90,막 태어나서는 겨우 일어설 수 있을 정도이지만 많이 달리면 하반신이 단련되어 달리는 속도가 빨라진다.,yellow,1
78,rapidash,날쌩마,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,불꽃,1.7,95.0,"도주, 타오르는불꽃, 불꽃몸",65,100,70,80,80,105,빠르게 움직이는 물체를 보면 경주를 하고 싶어져서 맹렬한 스피드로 쫓아가기 시작한다.,yellow,1
79,slowpoke,야돈,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,"물, 에스퍼",1.2,36.0,"둔감, 마이페이스, 재생력",90,65,65,40,40,15,항상 멍하니 있으므로 무슨 생각을 하고 있는지 알 수 없다. 꼬리로 먹이를 낚는 것이 특기다.,pink,1
80,slowbro,야도란,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,"물, 에스퍼",1.6,78.5,"둔감, 마이페이스, 재생력",95,75,110,100,80,30,붙어 있는 셀러는 꼬리에서 배어 나오는 맛을 좋아해서 계속 떨어지지 않는다.,pink,1
81,magnemite,코일,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,"전기, 강철",0.3,6.0,"자력, 옹골참, 애널라이즈",25,35,70,95,55,45,좌우의 유닛에서 중력을 차단하는 힘을 발휘하기에 공중에 뜰 수 있다.,gray,1
82,magneton,레어코일,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,"전기, 강철",1.0,60.0,"자력, 옹골참, 애널라이즈",50,60,95,120,70,70,다수의 코일이 연결되어 강력한 자기장과 높은 전압을 방사한다.,gray,1
83,farfetchd,파오리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,"노말, 비행",0.8,15.0,"날카로운눈, 정신력, 오기",52,90,55,58,62,60,가지고 있는 파 줄기는 소중한 무기이기도 하며 칼을 휘두르듯 다양한 것을 자를 수 있다.,brown,1
84,doduo,두두,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,"노말, 비행",1.4,39.2,"도주, 일찍기상, 갈지자걸음",35,85,45,35,35,75,돌연변이로 발견된 두 개의 머리를 지닌 포켓몬이다. 시속 100km로 달린다.,brown,1
85,dodrio,두트리오,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,"노말, 비행",1.8,85.2,"도주, 일찍기상, 갈지자걸음",60,110,70,60,60,110,3개의 머리가 보고 있는 앞에서 조금이라도 빈틈을 보이면 부리로 격렬하게 쪼아댄다.,brown,1
86,seel,쥬쥬,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,물,1.1,90.0,"두꺼운지방, 촉촉바디, 아이스바디",65,45,55,45,70,45,빙산에 사는 포켓몬이다. 머리의 뾰족하게 돌출된 부분으로 얼음을 깨고 바다를 헤엄친다.,white,1
87,dewgong,쥬레곤,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,"물, 얼음",1.7,120.0,"두꺼운지방, 촉촉바디, 아이스바디",90,70,80,70,95,70,전신이 새하얀 털로 뒤덮여 있다. 추위에 강해서 오히려 추울수록 힘이 넘쳐 난다.,white,1
88,grimer,질퍽이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,독,0.9,30.0,"악취, 점착, 독수",80,80,50,40,50,25,달로부터의 X선을 쬔 오물이 질퍽이로 변화했다. 더러운 것을 좋아한다.,purple,1
